time,w_expl,w_impl,w_RK2,w_cn,exact_solution
0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.050000,1.050000,1.052562,1.051217,1.051248,1.051249
0.100000,1.102434,1.107669,1.104920,1.104983,1.104987
0.150000,1.157281,1.165279,1.161076,1.161173,1.161182
0.200000,1.214495,1.225324,1.219632,1.219763,1.219779
0.250000,1.274009,1.287708,1.280506,1.280670,1.280696
0.300000,1.335729,1.352303,1.343588,1.343786,1.343825
0.350000,1.399533,1.418949,1.408738,1.408969,1.409025
0.400000,1.465267,1.487450,1.475783,1.476046,1.476122
0.450000,1.532747,1.557576,1.544516,1.544810,1.544910
0.500000,1.601755,1.629058,1.614697,1.615018,1.615146
0.550000,1.672039,1.701590,1.686047,1.686393,1.686554
0.600000,1.743311,1.774832,1.758254,1.758622,1.758819
0.650000,1.815252,1.848406,1.830969,1.831356,1.831594
0.700000,1.887507,1.921904,1.903813,1.904214,1.904497
0.750000,1.959689,1.994886,1.976373,1.976784,1.977115
0.800000,2.031383,2.066886,2.048208,2.048626,2.049009
0.850000,2.102147,2.137419,2.118855,2.119276,2.119712
0.900000,2.171516,2.205982,2.187829,2.188249,2.188742
0.950000,2.239008,2.272063,2.254633,2.255048,2.255599
1.000000,2.304128,2.335148,2.318761,2.319167,2.319777
1.050000,2.366374,2.394725,2.379704,2.380100,2.380768
1.100000,2.425246,2.450297,2.436963,2.437346,2.438072
1.150000,2.480250,2.501386,2.490049,2.490418,2.491199
1.200000,2.530908,2.547543,2.538496,2.538850,2.539683
1.250000,2.576762,2.588351,2.581866,2.582205,2.583086
1.300000,2.617388,2.623439,2.619757,2.620083,2.621006
1.350000,2.652395,2.652485,2.651812,2.652125,2.653086
1.400000,2.681440,2.675220,2.677723,2.678025,2.679016
1.450000,2.704228,2.691436,2.697236,2.697531,2.698546
1.500000,2.720521,2.700989,2.710160,2.710451,2.711481
1.550000,2.730143,2.703800,2.716367,2.716657,2.717694
1.600000,2.732982,2.699859,2.715794,2.716086,2.717123
1.650000,2.728992,2.689220,2.708448,2.708746,2.709773
1.700000,2.718196,2.672006,2.694400,2.694708,2.695719
1.750000,2.700685,2.648403,2.673792,2.674111,2.675098
1.800000,2.676615,2.618655,2.646825,2.647159,2.648114
1.850000,2.646209,2.583061,2.613763,2.614113,2.615029
1.900000,2.609745,2.541972,2.574920,2.575288,2.576160
1.950000,2.567560,2.495777,2.530665,2.531050,2.531874
2.000000,2.520037,2.444905,2.481404,2.481807,2.482578
2.050000,2.467602,2.389811,2.427581,2.428000,2.428715
2.100000,2.410714,2.330972,2.369666,2.370099,2.370757
2.150000,2.349862,2.268878,2.308150,2.308595,2.309195
2.200000,2.285552,2.204024,2.243536,2.243990,2.244531
2.250000,2.218299,2.136907,2.176331,2.176790,2.177273
2.300000,2.148625,2.068014,2.107041,2.107500,2.107927
2.350000,2.077046,1.997819,2.036161,2.036617,2.036990
2.400000,2.004068,1.926779,1.964173,1.964621,1.964943
2.450000,1.930179,1.855328,1.891537,1.891972,1.892246
2.500000,1.855845,1.783871,1.818688,1.819106,1.819337
2.550000,1.781505,1.712786,1.746034,1.746431,1.746622
2.600000,1.707567,1.642417,1.673950,1.674323,1.674478
2.650000,1.634408,1.573077,1.602777,1.603123,1.603246
2.700000,1.562364,1.505044,1.532824,1.533139,1.533235
2.750000,1.491740,1.438561,1.464361,1.464643,1.464715
2.800000,1.422799,1.373838,1.397623,1.397871,1.397924
2.850000,1.355769,1.311052,1.332812,1.333025,1.333061
2.900000,1.290842,1.250350,1.270095,1.270271,1.270295
2.950000,1.228175,1.191848,1.209607,1.209746,1.209761
3.000000,1.167890,1.135635,1.151452,1.151555,1.151563
3.050000,1.110080,1.081773,1.095707,1.095775,1.095778
3.100000,1.054808,1.030302,1.042423,1.042457,1.042457
3.150000,1.002113,0.981242,0.991627,0.991628,0.991628
3.200000,0.952009,0.934592,0.943326,0.943296,0.943297
3.250000,0.904490,0.890336,0.897509,0.897449,0.897452
3.300000,0.859531,0.848445,0.854147,0.854061,0.854067
3.350000,0.817093,0.808877,0.813201,0.813089,0.813099
3.400000,0.777122,0.771579,0.774617,0.774482,0.774497
3.450000,0.739556,0.736491,0.738335,0.738179,0.738199
3.500000,0.704323,0.703549,0.704286,0.704111,0.704136
3.550000,0.671345,0.672681,0.672395,0.672204,0.672234
3.600000,0.640538,0.643814,0.642585,0.642380,0.642415
3.650000,0.611818,0.616872,0.614775,0.614558,0.614598
3.700000,0.585096,0.591777,0.588884,0.588656,0.588701
3.750000,0.560285,0.568455,0.564830,0.564593,0.564643
3.800000,0.537298,0.546829,0.542533,0.542287,0.542342
3.850000,0.516048,0.526825,0.521912,0.521660,0.521720
3.900000,0.496454,0.508373,0.502891,0.502635,0.502698
3.950000,0.478434,0.491403,0.485397,0.485136,0.485203
4.000000,0.461913,0.475852,0.469358,0.469094,0.469164
4.050000,0.446816,0.461656,0.454707,0.454442,0.454515
4.100000,0.433077,0.448758,0.441383,0.441116,0.441191
4.150000,0.420630,0.437104,0.429325,0.429057,0.429135
4.200000,0.409416,0.426646,0.418480,0.418212,0.418292
4.250000,0.399379,0.417338,0.408799,0.408530,0.408612
4.300000,0.390472,0.409138,0.400235,0.399966,0.400050
4.350000,0.382647,0.402013,0.392748,0.392480,0.392565
4.400000,0.375864,0.395929,0.386304,0.386036,0.386122
4.450000,0.370088,0.390859,0.380869,0.380602,0.380689
4.500000,0.365288,0.386783,0.376418,0.376151,0.376239
4.550000,0.361438,0.383681,0.372929,0.372663,0.372751
4.600000,0.358517,0.381542,0.370384,0.370119,0.370208
4.650000,0.356506,0.380356,0.368772,0.368507,0.368596
4.700000,0.355395,0.380120,0.368083,0.367818,0.367908
4.750000,0.355175,0.380836,0.368315,0.368050,0.368140
4.800000,0.355842,0.382510,0.369468,0.369204,0.369293
4.850000,0.357399,0.385152,0.371549,0.371285,0.371374
4.900000,0.359850,0.388777,0.374568,0.374303,0.374392
4.950000,0.363206,0.393407,0.378539,0.378275,0.378362
5.000000,0.367481,0.399067,0.383482,0.383218,0.383305
5.050000,0.372693,0.405788,0.389423,0.389158,0.389244
5.100000,0.378865,0.413604,0.396388,0.396124,0.396209
5.150000,0.386025,0.422558,0.404413,0.404149,0.404232
5.200000,0.394205,0.432694,0.413534,0.413271,0.413352
5.250000,0.403439,0.444064,0.423796,0.423534,0.423613
5.300000,0.413769,0.456724,0.435246,0.434985,0.435062
5.350000,0.425238,0.470735,0.447935,0.447676,0.447750
5.400000,0.437895,0.486163,0.461920,0.461663,0.461735
5.450000,0.451792,0.503079,0.477262,0.477009,0.477077
5.500000,0.466984,0.521560,0.494026,0.493777,0.493842
5.550000,0.483530,0.541685,0.512281,0.512037,0.512098
5.600000,0.501495,0.563538,0.532099,0.531861,0.531918
5.650000,0.520942,0.587207,0.553555,0.553325,0.553377
5.700000,0.541940,0.612782,0.576729,0.576506,0.576554
5.750000,0.564558,0.640355,0.601699,0.601487,0.601530
5.800000,0.588867,0.670021,0.628547,0.628347,0.628385
5.850000,0.614940,0.701873,0.657356,0.657169,0.657202
5.900000,0.642847,0.736005,0.688206,0.688034,0.688062
5.950000,0.672658,0.772506,0.721176,0.721022,0.721044
6.000000,0.704442,0.811463,0.756343,0.756208,0.756226
6.050000,0.738261,0.852956,0.793778,0.793665,0.793678
6.100000,0.774175,0.897059,0.833548,0.833458,0.833466
6.150000,0.812236,0.943833,0.875707,0.875643,0.875647
6.200000,0.852488,0.993327,0.920304,0.920267,0.920269
6.250000,0.894965,1.045577,0.967373,0.967365,0.967365
6.300000,0.939689,1.100599,1.016933,1.016956,1.016956
6.350000,0.986667,1.158390,1.068988,1.069043,1.069044
6.400000,1.035890,1.218920,1.123519,1.123608,1.123613
6.450000,1.087331,1.282137,1.180489,1.180612,1.180623
6.500000,1.140943,1.347957,1.239834,1.239992,1.240011
6.550000,1.196655,1.416265,1.301464,1.301656,1.301686
6.600000,1.254370,1.486910,1.365257,1.365484,1.365528
6.650000,1.313968,1.559708,1.431065,1.431325,1.431387
6.700000,1.375295,1.634433,1.498702,1.498994,1.499078
6.750000,1.438173,1.710821,1.567950,1.568272,1.568381
6.800000,1.502388,1.788570,1.638556,1.638905,1.639044
6.850000,1.567696,1.867336,1.710229,1.710604,1.710777
6.900000,1.633823,1.946736,1.782647,1.783043,1.783254
6.950000,1.700460,2.026351,1.855449,1.855863,1.856116
7.000000,1.767271,2.105726,1.928244,1.928672,1.928971
7.050000,1.833889,2.184378,2.000609,2.001048,2.001396
7.100000,1.899920,2.261793,2.072097,2.072542,2.072942
7.150000,1.964949,2.337439,2.142235,2.142683,2.143138
7.200000,2.028541,2.410769,2.210535,2.210981,2.211493
7.250000,2.090244,2.481226,2.276495,2.276935,2.277506
7.300000,2.149599,2.548255,2.339607,2.340039,2.340669
7.350000,2.206142,2.611307,2.399366,2.399788,2.400475
7.400000,2.259411,2.669850,2.455275,2.455684,2.456428
7.450000,2.308954,2.723376,2.506851,2.507246,2.508044
7.500000,2.354334,2.771409,2.553637,2.554018,2.554867
7.550000,2.395139,2.813516,2.595206,2.595573,2.596469
7.600000,2.430985,2.849312,2.631172,2.631526,2.632462
7.650000,2.461525,2.878467,2.661192,2.661534,2.662506
7.700000,2.486457,2.900711,2.684976,2.685310,2.686309
7.750000,2.505525,2.915844,2.702292,2.702619,2.703639
7.800000,2.518528,2.923731,2.712968,2.713292,2.714325
7.850000,2.525322,2.924314,2.716898,2.717222,2.718260
7.900000,2.525825,2.917603,2.714044,2.714371,2.715406
7.950000,2.520015,2.903684,2.704432,2.704767,2.705790
8.000000,2.507935,2.882712,2.688160,2.688504,2.689508
8.050000,2.489690,2.854910,2.665388,2.665745,2.666722
8.100000,2.465445,2.820564,2.636340,2.636711,2.637654
8.150000,2.435423,2.780015,2.601296,2.601684,2.602586
8.200000,2.399900,2.733658,2.560591,2.560996,2.561852
8.250000,2.359203,2.681931,2.514605,2.515027,2.515834
8.300000,2.313700,2.625306,2.463759,2.464198,2.464951
8.350000,2.263797,2.564285,2.408507,2.408961,2.409657
8.400000,2.209926,2.499390,2.349326,2.349793,2.350431
8.450000,2.152547,2.431154,2.286713,2.287190,2.287769
8.500000,2.092130,2.360113,2.221172,2.221655,2.222176
8.550000,2.029156,2.286802,2.153211,2.153696,2.154161
8.600000,1.964104,2.211744,2.083332,2.083816,2.084225
8.650000,1.897451,2.135447,2.012028,2.012506,2.012862
8.700000,1.829657,2.058396,1.939772,1.940240,1.940546
8.750000,1.761169,1.981052,1.867018,1.867471,1.867730
8.800000,1.692409,1.903842,1.794192,1.794625,1.794842
8.850000,1.623773,1.827164,1.721690,1.722101,1.722279
8.900000,1.555631,1.751379,1.649877,1.650261,1.650405
8.950000,1.488316,1.676811,1.579083,1.579438,1.579552
9.000000,1.422131,1.603750,1.509603,1.509926,1.510013
9.050000,1.357344,1.532446,1.441696,1.441985,1.442050
9.100000,1.294187,1.463115,1.375587,1.375840,1.375887
9.150000,1.232861,1.395936,1.311464,1.311680,1.311712
9.200000,1.173530,1.331058,1.249484,1.249663,1.249683
9.250000,1.116330,1.268594,1.189770,1.189912,1.189924
9.300000,1.061364,1.208633,1.132420,1.132525,1.132530
9.350000,1.008708,1.151232,1.077498,1.077568,1.077570
9.400000,0.958414,1.096427,1.025050,1.025085,1.025085
9.450000,0.910508,1.044232,0.975094,0.975096,0.975096
9.500000,0.864997,0.994641,0.927631,0.927602,0.927603
9.550000,0.821869,0.947630,0.882644,0.882585,0.882590
9.600000,0.781097,0.903164,0.840100,0.840015,0.840022
9.650000,0.742641,0.861192,0.799955,0.799845,0.799857
9.700000,0.706446,0.821655,0.762153,0.762020,0.762037
9.750000,0.672453,0.784487,0.726630,0.726477,0.726498
9.800000,0.640593,0.749614,0.693315,0.693144,0.693171
9.850000,0.610792,0.716958,0.662134,0.661946,0.661978
9.900000,0.582972,0.686439,0.633006,0.632804,0.632841
9.950000,0.557053,0.657975,0.605851,0.605637,0.605679
10.000000,0.532955,0.631482,0.580587,0.580362,0.580410
10.050000,0.510596,0.606878,0.557133,0.556900,0.556951
10.100000,0.489895,0.584082,0.535408,0.535167,0.535224
10.150000,0.470775,0.563016,0.515334,0.515087,0.515148
10.200000,0.453160,0.543602,0.496835,0.496583,0.496648
10.250000,0.436976,0.525768,0.479838,0.479582,0.479650
10.300000,0.422154,0.509445,0.464273,0.464015,0.464086
10.350000,0.408628,0.494567,0.450076,0.449815,0.449889
10.400000,0.396335,0.481073,0.437184,0.436922,0.436998
10.450000,0.385218,0.468907,0.425540,0.425277,0.425356
10.500000,0.375223,0.458017,0.415092,0.414828,0.414909
10.550000,0.366302,0.448355,0.405791,0.405527,0.405610
10.600000,0.358408,0.439880,0.397594,0.397330,0.397415
10.650000,0.351503,0.432554,0.390462,0.390198,0.390284
10.700000,0.345550,0.426345,0.384360,0.384097,0.384183
10.750000,0.340517,0.421224,0.379259,0.378996,0.379084
10.800000,0.336378,0.417171,0.375134,0.374872,0.374960
10.850000,0.333109,0.414167,0.371964,0.371702,0.371791
10.900000,0.330693,0.412200,0.369734,0.369473,0.369562
10.950000,0.329115,0.411263,0.368433,0.368172,0.368262
11.000000,0.328366,0.411354,0.368054,0.367794,0.367883
11.050000,0.328438,0.412476,0.368595,0.368335,0.368425
11.100000,0.329332,0.414637,0.370060,0.369800,0.369889
11.150000,0.331048,0.417851,0.372454,0.372195,0.372283
11.200000,0.333594,0.422136,0.375791,0.375532,0.375620
11.250000,0.336980,0.427516,0.380087,0.379828,0.379915
11.300000,0.341221,0.434020,0.385363,0.385103,0.385190
11.350000,0.346335,0.441685,0.391644,0.391385,0.391470
11.400000,0.352345,0.450549,0.398962,0.398703,0.398787
11.450000,0.359277,0.460659,0.407351,0.407092,0.407175
11.500000,0.367162,0.472067,0.416851,0.416593,0.416674
11.550000,0.376035,0.484829,0.427506,0.427250,0.427328
11.600000,0.385933,0.499008,0.439366,0.439112,0.439188
11.650000,0.396899,0.514672,0.452485,0.452232,0.452305
11.700000,0.408979,0.531895,0.466919,0.466669,0.466740
11.750000,0.422221,0.550755,0.482732,0.482486,0.482553
11.800000,0.436680,0.571335,0.499989,0.499748,0.499811
11.850000,0.452409,0.593724,0.518761,0.518525,0.518585
11.900000,0.469470,0.618014,0.539121,0.538892,0.538948
11.950000,0.487922,0.644301,0.561146,0.560925,0.560976
12.000000,0.507828,0.672684,0.584914,0.584702,0.584749
12.050000,0.529255,0.703262,0.610507,0.610306,0.610347
12.100000,0.552267,0.736138,0.638005,0.637817,0.637853
12.150000,0.576932,0.771413,0.667490,0.667317,0.667348
12.200000,0.603314,0.809188,0.699044,0.698887,0.698913
12.250000,0.631478,0.849557,0.732745,0.732606,0.732626
12.300000,0.661484,0.892614,0.768666,0.768548,0.768564
12.350000,0.693392,0.938442,0.806879,0.806783,0.806795
12.400000,0.727253,0.987117,0.847446,0.847375,0.847382
12.450000,0.763114,1.038700,0.890420,0.890375,0.890379
12.500000,0.801012,1.093242,0.935844,0.935828,0.935830
12.550000,0.840974,1.150773,0.983749,0.983763,0.983763
12.600000,0.883017,1.211304,1.034148,1.034194,1.034195
12.650000,0.927143,1.274822,1.087038,1.087118,1.087120
12.700000,0.973338,1.341289,1.142394,1.142509,1.142515
12.750000,1.021571,1.410635,1.200171,1.200320,1.200333
12.800000,1.071791,1.482759,1.260295,1.260479,1.260502
12.850000,1.123925,1.557523,1.322666,1.322886,1.322921
12.900000,1.177876,1.634754,1.387155,1.387410,1.387460
12.950000,1.233522,1.714236,1.453599,1.453888,1.453957
13.000000,1.290715,1.795711,1.521803,1.522124,1.522216
13.050000,1.349278,1.878881,1.591537,1.591888,1.592007
13.100000,1.409004,1.963402,1.662535,1.662914,1.663064
13.150000,1.469660,2.048889,1.734496,1.734900,1.735085
13.200000,1.530979,2.134913,1.807083,1.807509,1.807733
13.250000,1.592669,2.221009,1.879927,1.880370,1.880638
13.300000,1.654407,2.306673,1.952625,1.953082,1.953397
13.350000,1.715848,2.391370,2.024746,2.025213,2.025578
13.400000,1.776619,2.474539,2.095833,2.096305,2.096724
13.450000,1.836331,2.555596,2.165407,2.165881,2.166356
13.500000,1.894575,2.633945,2.232976,2.233448,2.233979
13.550000,1.950931,2.708985,2.298034,2.298500,2.299090
13.600000,2.004972,2.780115,2.360074,2.360532,2.361181
13.650000,2.056269,2.846746,2.418592,2.419040,2.419746
13.700000,2.104399,2.908311,2.473096,2.473531,2.474293
13.750000,2.148946,2.964272,2.523110,2.523531,2.524347
13.800000,2.189515,3.014128,2.568187,2.568595,2.569460
13.850000,2.225731,3.057427,2.607913,2.608307,2.609217
13.900000,2.257252,3.093771,2.641914,2.642296,2.643245
13.950000,2.283769,3.122825,2.669867,2.670238,2.671220
